Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Image URL
"Antec P6 Midi-Tower, Tempered Glass - black",$68.46 USD,Antec,0-761345-80004-4,7.61346E+11,,470 mm,405 mm,200 mm,Micro-ATX,ATX,390 mm,160 mm,0/0,6-Jan,0/4,0/0,,,,,,6,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/41n3eUusB7L._AC_UY218_.jpg
Antec P7 Silent Midi-Tower - black,$73.27 USD,Antec,0-761345-11608-4,7.61345E+11,,210 mm,445 mm,470 mm,ATX,ATX,390 mm,165 mm,0/0,3-Feb,0/2,0/0,1,0,0,1,0,2,0,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
"Antec Performance Series P8 Midi-Tower, Tempered Glass - black",$58.07 USD,Antec,0-761345-11607-7,7.61345E+11,,210 mm,470 mm,443 mm,ATX,ATX,390 mm,165 mm,0/0,7-Mar,0/4,0/0,,,,,,6,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/71lKUIIkZWL._AC_UY218_.jpg
Antec Three Hundred Two Midi-Tower - black,$72.53 USD,Antec,0-761345-15320-1,7.61345E+11,,229 mm,471 mm,513 mm,ATX,ATX,318 mm,170 mm,0/0,4-Jan,1-Jan,0/0,,,,,,2,6,0,,black,FALSE,FALSE,TRUE,FALSE,https://m.media-amazon.com/images/I/61wAxqnzC1L._AC_UY218_.jpg
Antec TORQUE Midi-Tower - black/red,$413.45 USD,Antec,0-761345-80017-4,7.61346E+11,,285 mm,621 mm,644 mm,ATX,ATX,450 mm,215 mm,0/0,0/6,0/0,0/0,0,0,0,0,2,1,1,0,,red black,TRUE,FALSE,FALSE,FALSE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
Antec TORQUE Midi-Tower - white,$275.64 USD,Antec,0-761345-80026-6,7.61346E+11,,285 mm,621 mm,644 mm,ATX,ATX,450 mm,215 mm,0/0,0/6,0/0,0/0,0,0,0,0,2,1,1,0,,white,TRUE,FALSE,TRUE,FALSE,https://m.media-amazon.com/images/I/71uwuEPOGdL._AC_UY218_.jpg
be quiet! Dark Base 700 RGB Midi-Tower - black Window,$255.78 USD,be quiet!,BGW23,4.26005E+12,4.26005E+12,241 mm,544 mm,519 mm,E-ATX,ATX,430 mm,180 mm,0/0,0/8,9-Feb,0/0,3,2,2,1,2,17,7,0,,black,TRUE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/61gX+KS3P1L._AC_UY218_.jpg
be quiet! Dark Base 700 White Edition Midi-Tower - white Window,$212.92 USD,be quiet!,BGW33,4.26005E+12,4.26005E+12,241 mm,544 mm,519 mm,E-ATX,ATX,430 mm,180 mm,0/0,0/6,6-Feb,0/0,0,1,0,0,2,17,7,0,,white,TRUE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/61gX+KS3P1L._AC_UY218_.jpg
be quiet! Dark Base 900 Big-Tower - black,$259.5 USD,be quiet!,BG011,4.26005E+12,4.26005E+12,243 mm,577 mm,585 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/11,9-Mar,0/1,4,4,2,3,2,15,7,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/61gX+KS3P1L._AC_UY218_.jpg
be quiet! Dark Base 900 Big-Tower - silver,$244.03 USD,be quiet!,BG012,4.26005E+12,4.26005E+12,243 mm,577 mm,585 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/11,9-Mar,0/1,4,4,2,3,2,15,7,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/61gX+KS3P1L._AC_UY218_.jpg
be quiet! Dark Base Pro 900 Big-Tower - black Window,$215.07 USD,be quiet!,BGW11,4.26005E+12,4.26005E+12,243 mm,577 mm,585 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/9,9-Mar,0/1,,,,,,15,7,0,,black,TRUE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/61gX+KS3P1L._AC_UY218_.jpg
